latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,confidence,version,bright_ti5,frp,daynight
51.47064,29.53801,310.65,0.4,0.37,2022-09-04,0022,N,nominal,2.0NRT,287.89,2.03,N
51.46961,29.5437,298.24,0.4,0.37,2022-09-04,0022,N,nominal,2.0NRT,282.72,2.03,N
51.46837,29.53079,313.76,0.4,0.37,2022-09-04,0022,N,nominal,2.0NRT,286.4,2.14,N
51.46734,29.53647,299.81,0.4,0.37,2022-09-04,0022,N,nominal,2.0NRT,285.69,1.01,N
51.46404,29.53492,296.49,0.4,0.37,2022-09-04,0022,N,nominal,2.0NRT,283.87,1.01,N
51.46177,29.5277,297.91,0.4,0.37,2022-09-04,0022,N,nominal,2.0NRT,283.62,7.7,N
51.46074,29.53338,313.91,0.4,0.37,2022-09-04,0022,N,nominal,2.0NRT,288.24,7.87,N
51.45847,29.52616,343.79,0.4,0.37,2022-09-04,0022,N,nominal,2.0NRT,291.16,7.7,N
51.45744,29.53184,352.82,0.4,0.37,2022-09-04,0022,N,nominal,2.0NRT,298.42,7.87,N
51.45414,29.53029,305.4,0.4,0.37,2022-09-04,0022,N,nominal,2.0NRT,279.5,1.23,N
51.44793,29.56437,313.76,0.4,0.37,2022-09-04,0022,N,nominal,2.0NRT,282.15,2.06,N
51.44255,29.5742,323.43,0.4,0.37,2022-09-04,0022,N,nominal,2.0NRT,287.37,1.58,N
51.44152,29.57989,298.51,0.41,0.37,2022-09-04,0022,N,nominal,2.0NRT,280.11,1.58,N
51.43925,29.57266,310.49,0.4,0.37,2022-09-04,0022,N,nominal,2.0NRT,280.55,1.79,N
51.40376,29.53146,310.02,0.4,0.37,2022-09-04,0022,N,nominal,2.0NRT,280.6,2.51,N
51.40046,29.52992,332.41,0.4,0.37,2022-09-04,0022,N,nominal,2.0NRT,290.11,2.51,N
51.40149,29.52425,306.39,0.4,0.37,2022-09-04,0022,N,nominal,2.0NRT,283.91,2.05,N
51.39819,29.52272,298.97,0.4,0.37,2022-09-04,0022,N,nominal,2.0NRT,283.23,1.6,N
51.39716,29.52838,312.69,0.4,0.37,2022-09-04,0022,N,nominal,2.0NRT,287.09,2.39,N
51.39281,29.53251,327.01,0.4,0.37,2022-09-04,0022,N,nominal,2.0NRT,289.24,2.39,N
51.39177,29.53819,334.02,0.4,0.37,2022-09-04,0022,N,nominal,2.0NRT,285.37,3.54,N
51.39385,29.52685,309.36,0.4,0.37,2022-09-04,0022,N,nominal,2.0NRT,286.97,2.39,N
51.39228,29.5379,341.54,0.4,0.37,2022-09-04,0022,N,nominal,2.0NRT,287.3,3.01,N
51.39434,29.52656,308.6,0.4,0.37,2022-09-04,0022,N,nominal,2.0NRT,286.91,1.57,N
51.39331,29.53223,319.72,0.4,0.37,2022-09-04,0022,N,nominal,2.0NRT,288.56,3.01,N
51.39103,29.52501,297.41,0.4,0.37,2022-09-04,0022,N,nominal,2.0NRT,282.74,1.57,N
51.39001,29.53069,312.08,0.4,0.37,2022-09-04,0022,N,nominal,2.0NRT,283.47,3.01,N
51.3739,29.56015,321.92,0.41,0.37,2022-09-04,0022,N,nominal,2.0NRT,288.19,2.52,N
51.377,29.54311,296.24,0.41,0.37,2022-09-04,0022,N,nominal,2.0NRT,284.01,1.74,N
51.37287,29.56583,316.31,0.41,0.37,2022-09-04,0022,N,nominal,2.0NRT,284.68,2.52,N
51.36956,29.56429,327.83,0.41,0.37,2022-09-04,0022,N,nominal,2.0NRT,280.76,2.52,N
51.37163,29.55292,298.38,0.41,0.37,2022-09-04,0022,N,nominal,2.0NRT,281.51,2.26,N
51.37262,29.44884,326.33,0.4,0.37,2022-09-04,0022,N,nominal,2.0NRT,284.61,1.78,N
51.37159,29.4545,318,0.4,0.37,2022-09-04,0022,N,nominal,2.0NRT,286.35,1.78,N
51.36932,29.44732,296.1,0.4,0.37,2022-09-04,0022,N,nominal,2.0NRT,278.5,1.78,N
51.36829,29.45298,314.02,0.4,0.37,2022-09-04,0022,N,nominal,2.0NRT,285.37,1.78,N
53.14245,8.67228,298.74,0.53,0.67,2022-09-04,0022,N,nominal,2.0NRT,283.29,0.6,N
53.13612,8.67229,309.36,0.53,0.67,2022-09-04,0022,N,nominal,2.0NRT,284.01,1.93,N
53.13616,8.68067,296.35,0.53,0.67,2022-09-04,0022,N,nominal,2.0NRT,284.11,1.93,N
53.1362,8.68899,310,0.53,0.67,2022-09-04,0022,N,nominal,2.0NRT,283.6,1.41,N
52.50021,4.60975,311.93,0.78,0.78,2022-09-04,0022,N,nominal,2.0NRT,283.41,1.68,N
52.49288,4.6103,302.38,0.78,0.78,2022-09-04,0022,N,nominal,2.0NRT,283.15,1.45,N
52.4846,4.58673,298.42,0.78,0.78,2022-09-04,0022,N,nominal,2.0NRT,283.92,1.95,N
